Der B-ORG
Bezirksverband I-ORG
der I-ORG
Gewerbegenossenschaften I-ORG
und I-ORG
-gremien I-ORG
Olmütz-Stadt I-ORG
befasste O
sich O
in O
seiner O
Sitzung O
mit O
der O
Frage O
der O
Zuwanderung O
jüdischer O
Emigration B-TER
aus O
dem O
ehemaligen O
Österreich B-LOC
, O
die O
, O
wie O
bekannt O
, O
innerhalb O
von O
vier O
Monaten O
ausgewiesen O
werden O
sollen O
und O
in O
erster O
Linie O
bei O
uns O
Zuflucht O
sucht O
. O

Von O
jeder O
Emigration B-TER
sind O
das O
Gewerbe O
und O
die O
Geschäftswelt O
am O
meisten O
betroffen O
, O
denn O
diese O
stürzt O
sich O
auf O
die O
Gewerbe O
, O
insbesondere O
auf O
den O
Handel O
und O
das O
direkt O
und O
indirekt O
als O
Teilhaber O
und O
ähnliches O
, O
und O
mit O
ihren O
rücksichtslosen O
Vorgehensweisen O
untergraben O
sie O
dann O
unser O
Privatunternehmertum O
. O

Deshalb O
müssen O
wir O
uns O
vor O
der O
Zuwanderung O
einer O
Minderheit O
schützen O
, O
mit O
der O
es O
Erfahrungen O
gibt O
, O
dass O
sie O
dieses O
Asyl O
nach O
Erhalt O
missbraucht O
, O
indem O
sie O
zu O
Lasten O
der O
Staatsnation O
in O
das O
Wirtschaftsleben O
eindringt O
. O

Diese O
wirtschaftliche O
Selbstverteidigung O
ist O
zulässig O
und O
lässt O
sich O
keinesfalls O
mit O
der O
Minderheitenfrage O
gleichsetzen O
. O

Als O
Gewerbetreibende O
beobachten O
wir O
, O
dass O
diese O
Zuwanderer O
nicht O
direkt O
Gewerbe O
anmelden O
, O
sondern O
die O
Schwäche O
einiger O
bisheriger O
Gewerbetreibender O
missbrauchen O
, O
ihnen O
Geld O
für O
ihr O
Unternehmen O
leihen O
und O
dann O
uns O
, O
die O
gastfreundliche O
Nation O
, O
zur O
Gänze O
wirtschaftlich O
ausnutzen O
. O

Aus O
diesem O
Grund O
hat O
unser O
Verband O
beschlossen O
, O
Sie O
zu O
ersuchen O
einzuschreiten O
, O
damit O
dieser O
Emigration B-TER
, O
die O
keinerlei O
Liebe O
mit O
der O
ČSR B-LOC
verbindet O
, O
der O
Zutritt O
auf O
unser O
Gebiet O
erst O
gar O
nicht O
erlaubt O
wird O
. O

Mit O
dem O
Ausdruck O
vorzüglicher O
Hochachtung O
für O
den O
Bezirksverband O
der O
Gewerbegenossenschaften O
und O
-gremien O
Olmütz-Stadt O
. O

Schriftführer O
: O
[ O
Unterschrift O
] O
Bürgermeister O
: O
[ O
Unterschrift O
] O
Das O
Dokument O
wurde O
im O
Innenministerium O
ohne O
weitere O
Reaktion O
am O
8. O
April O
lediglich O
mit O
Ad O
acta O
markiert O
. O

