Günzenberger B-PER
Fanny I-PER
előadja O
a O
következőket O
: O
Az O
én O
kálváriám O
már O
1941 O
-ben O
kezdődött O
, O
amikor O
a O
lengyel B-TER
származású O
zsidókat O
szedték O
össze O
Magyarország B-LOC
on O
. O

Akkor O
elvittek O
engem O
is O
szüleimmel O
, O
5 O
testvéremmel O
és O
nagyszámú O
rokonságommal O
. O

Ezekben O
egy O
sem O
maradt O
életben O
. O

Kamenetz B-LOC
- I-LOC
Podolsk I-LOC
ból O
sikerült O
megszöknöm B-TER
, O
mielőtt O
sortüzet B-TER
adtak O
ott O
a O
rengeteg O
zsidóra O
. O

A O
menekülésem O
visszafelé O
olyan O
borzalmas O
volt O
, O
éjjel O
a O
mezőkön O
, O
árkok O
mélyén O
mertem O
csak O
menni O
. O

Nappal O
elbújtam B-TER
valami O
szalmakazalban O
, O
vagy O
istállóban O
. O

Azt O
ettem O
, O
amit O
a O
mezőn O
és O
erdőben O
ehető O
növényeket O
és O
répát B-TER
, O
krumpli B-TER
t O
találtam O
. O

Az O
én O
számomra O
a O
németország B-TER
i O
szenvedés O
már O
nem O
volt O
újság O
és O
nem O
volt O
meglepetés O
. O

Végre O
sikerült O
visszaérnem O
Magyarország B-LOC
ra O
és O
akkor O
már O
nem O
mentem O
vissza O
a O
kis O
falunkba O
, O
hanem O
Ungvár B-LOC
ra O
mentem O
, O
ahol O
zsidó O
családok B-TER
nál O
dolgoztam O
. O

1943 O
-ban O
, O
amikor O
a O
németek B-TER
bejöttek O
Magyarországra O
, O
Ungvár B-LOC
ott O
rövidesen O
megcsinálták O
a O
gettó B-TER
t O
, O
ahova O
minden O
zsidónak O
be O
kellett O
vonulnia O
. O

A O
gettó B-TER
ban O
még O
nem B-TER
volt I-TER
rossz I-TER
dolgunk I-TER
, O
eltekintve O
attól O
, O
hogy O
a O
gazdag O
zsidókat O
verték O
és O
vallatták O
, O
hogy O
hova O
dugtak O
el O
értékes O
dolgokat O
. O

Körülbelül O
hathét O
után O
bevagoníroztak O
bennünket O
és O
háromnapi O
nagyon O
keserves O
utazás O
után O
elértünk O
Auschwitz B-LOC
ba O
. O

Itt O
azonnal O
szétválasztották B-TER
az O
erős O
, O
munka B-TER
bíró O
emberek B-TER
et O
és O
az O
